index	differential	flipped differential	care	fairness	loyalty	authority	sanctity	liberty		
421	foodie :: unenthusiastic about food	unenthusiastic about food :: foodie	0	0	0	0	0	0		
422	chill :: sassy	sassy :: chill	0	0	0	0	0	0		
423	glamorous :: spartan	spartan :: glamorous								
424	prankster :: anti-prank	anti-prank :: prankster								
425	goofy :: unfrivolous	unfrivolous :: goofy	0	0	0	0	0	0		
426	noble :: jovial	jovial :: noble								
427	blessed :: cursed	cursed :: blessed	0	0	0	0	0	0		
428	forward :: repressed	repressed :: forward								
429	entrepreneur :: employee	employee :: entrepreneur								
430	quivering :: unstirring	unstirring :: quivering								
431	mechanical :: natural	natural :: mechanical								
432	minds-own-business :: snoops	snoops :: minds-own-business								
433	prying :: unmeddlesome	unmeddlesome :: prying								
434	leader :: follower	follower :: leader	0	0	0	1	0	0		
435	handy :: can't-fix-anything	can't-fix-anything :: handy	0							
436	green thumb :: plant-neglecter	plant-neglecter :: green thumb								
437	activist :: nonpartisan	nonpartisan :: activist								
438	photographer :: physicist	physicist :: photographer								
439	lumberjack :: mad-scientist	mad-scientist :: lumberjack								
440	pointless :: meaningful	meaningful :: pointless								
441	focused :: absentminded	absentminded :: focused	0							
442	bear :: wolf	wolf :: bear	0	0	0	0	0	0		
443	lion :: zebra	zebra :: lion	0	0	0	0	0	0		
444	kangaroo :: dolphin	dolphin :: kangaroo	0	0	0	0	0	0		
445	all-seeing :: blind	blind :: all-seeing	0	0	0	0	0	0		
446	engineerial :: lawyerly	lawyerly :: engineerial								
447	love shy :: cassanova	cassanova :: love shy								
448	disturbing :: enchanting	enchanting :: disturbing								
449	maverick :: conformist	conformist :: maverick	0	0	0	1	0	1		
450	social climber :: nonconformist	nonconformist :: social climber								
451	social chameleon :: strong identity	strong identity :: social chameleon								
452	awkward :: comfortable	comfortable :: awkward								
453	sincere :: irreverent	irreverent :: sincere								
454	intuitive :: analytical	analytical :: intuitive								
455	cringing away :: welcoming experience	welcoming experience :: cringing away								
456	stereotypical :: boundary breaking	boundary breaking :: stereotypical								
457	energetic :: mellow	mellow :: energetic								
458	hopeful :: fearful	fearful :: hopeful								
459	likes change :: resists change	resists change :: likes change								
460	manic :: mild	mild :: manic								
461	old-fashioned :: progressive	progressive :: old-fashioned	0	0	0	1	0	1		
462	gross :: hygienic	hygienic :: gross	0	0	0	0	1	0		
463	stable :: unstable	unstable :: stable								
464	overthinker :: underthinker	underthinker :: overthinker	0	0	0	0	0	0		
