trait_index,differential,foundation,type,detail
440,pointless :: meaningful,general,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
442,bear :: wolf,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
443,lion :: zebra,authority,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
445,all-seeing :: blind,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
447,love shy :: cassanova,purity,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
449,maverick :: conformist,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
449,maverick :: conformist,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
450,social climber :: nonconformist,loyalty,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
450,social climber :: nonconformist,liberty,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
453,sincere :: irreverent,care,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
453,sincere :: irreverent,authority,Human=0 / LLM=1 (LLM-only consensus),"Fehr=0, Tran=0 | Claude=1, Gemini=1, Deepseek=1"
456,stereotypical :: boundary breaking,fairness,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
456,stereotypical :: boundary breaking,authority,Human Disagreement / LLM Unanimous,"Fehr=0, Tran=1 | LLMs Unanimous=1"
459,likes change :: resists change,liberty,Human=1 / LLM=0 (Human-only consensus),"Fehr=1, Tran=1 | Claude=0, Gemini=0, Deepseek=0"
460,manic :: mild,purity,Human Disagreement / LLM Unanimous,"Fehr=1, Tran=0 | LLMs Unanimous=0"
