index	character	character in latex	character/story	character/story in latex	card url
423	Rhett Butler	Rhett Butler	Rhett Butler/Gone With the Wind	Rhett Butler/Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-Rhett-Butler-1600-364-241.pdf
424	Melanie Hamilton	Melanie Hamilton	Melanie Hamilton/Gone With the Wind	Melanie Hamilton/Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-Melanie-Hamilton-1600-364-241.pdf
425	Ashley Wilkes	Ashley Wilkes	Ashley Wilkes/Gone With the Wind	Ashley Wilkes/Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-Ashley-Wilkes-1600-364-241.pdf
426	India Wilkes	India Wilkes	India Wilkes/Gone With the Wind	India Wilkes/Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-India-Wilkes-1600-364-241.pdf
427	Mammy	Mammy	Mammy/Gone With the Wind	Mammy/Gone With the Wind	https://compstorylab.org/archetypometrics/cards/Gone-With-the-Wind-Mammy-1600-364-241.pdf
428	Tyler Durden	Tyler Durden	Tyler Durden/Fight Club	Tyler Durden/Fight Club	https://compstorylab.org/archetypometrics/cards/Fight-Club-Tyler-Durden-1600-364-241.pdf
429	The Narrator	The Narrator	The Narrator/Fight Club	The Narrator/Fight Club	https://compstorylab.org/archetypometrics/cards/Fight-Club-The-Narrator-1600-364-241.pdf
430	Marla Singer	Marla Singer	Marla Singer/Fight Club	Marla Singer/Fight Club	https://compstorylab.org/archetypometrics/cards/Fight-Club-Marla-Singer-1600-364-241.pdf
431	Dominic Toretto	Dominic Toretto	Dominic Toretto/Fast & Furious	Dominic Toretto/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Dominic-Toretto-1600-364-241.pdf
432	Brian O'Conner	Brian O'Conner	Brian O'Conner/Fast & Furious	Brian O'Conner/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Brian-OConner-1600-364-241.pdf
433	Letty Ortiz	Letty Ortiz	Letty Ortiz/Fast & Furious	Letty Ortiz/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Letty-Ortiz-1600-364-241.pdf
434	Mia Toretto	Mia Toretto	Mia Toretto/Fast & Furious	Mia Toretto/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Mia-Toretto-1600-364-241.pdf
435	Han Lue	Han Lue	Han Lue/Fast & Furious	Han Lue/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Han-Lue-1600-364-241.pdf
436	Gisele Yashar	Gisele Yashar	Gisele Yashar/Fast & Furious	Gisele Yashar/Fast \& Furious	https://compstorylab.org/archetypometrics/cards/Fast-and-Furious-Gisele-Yashar-1600-364-241.pdf
437	Forrest Gump	Forrest Gump	Forrest Gump/Forrest Gump	Forrest Gump/Forrest Gump	https://compstorylab.org/archetypometrics/cards/Forrest-Gump-Forrest-Gump-1600-364-241.pdf
438	Jenny Curran	Jenny Curran	Jenny Curran/Forrest Gump	Jenny Curran/Forrest Gump	https://compstorylab.org/archetypometrics/cards/Forrest-Gump-Jenny-Curran-1600-364-241.pdf
439	Dan Taylor	Dan Taylor	Dan Taylor/Forrest Gump	Dan Taylor/Forrest Gump	https://compstorylab.org/archetypometrics/cards/Forrest-Gump-Dan-Taylor-1600-364-241.pdf
440	Barry Allen	Barry Allen	Barry Allen/The Flash	Barry Allen/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Barry-Allen-1600-364-241.pdf
441	Iris West	Iris West	Iris West/The Flash	Iris West/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Iris-West-1600-364-241.pdf
442	Caitlin Snow	Caitlin Snow	Caitlin Snow/The Flash	Caitlin Snow/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Caitlin-Snow-1600-364-241.pdf
443	Cisco Ramon	Cisco Ramon	Cisco Ramon/The Flash	Cisco Ramon/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Cisco-Ramon-1600-364-241.pdf
444	Dr. Harry Wells	Dr. Harry Wells	Dr. Harry Wells/The Flash	Dr. Harry Wells/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Dr-Harry-Wells-1600-364-241.pdf
445	Joe West	Joe West	Joe West/The Flash	Joe West/The Flash	https://compstorylab.org/archetypometrics/cards/The-Flash-Joe-West-1600-364-241.pdf
446	Nemo	Nemo	Nemo/Finding Nemo	Nemo/Finding Nemo	https://compstorylab.org/archetypometrics/cards/Finding-Nemo-Nemo-1600-364-241.pdf
447	Marlin	Marlin	Marlin/Finding Nemo	Marlin/Finding Nemo	https://compstorylab.org/archetypometrics/cards/Finding-Nemo-Marlin-1600-364-241.pdf
448	Dory	Dory	Dory/Finding Nemo	Dory/Finding Nemo	https://compstorylab.org/archetypometrics/cards/Finding-Nemo-Dory-1600-364-241.pdf
449	Jimmy McGill	Jimmy McGill	Jimmy McGill/Better Call Saul	Jimmy McGill/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Jimmy-McGill-1600-364-241.pdf
450	Mike Ehrmantraut	Mike Ehrmantraut	Mike Ehrmantraut/Better Call Saul	Mike Ehrmantraut/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Mike-Ehrmantraut-1600-364-241.pdf
451	Kim Wexler	Kim Wexler	Kim Wexler/Better Call Saul	Kim Wexler/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Kim-Wexler-1600-364-241.pdf
452	Howard Hamlin	Howard Hamlin	Howard Hamlin/Better Call Saul	Howard Hamlin/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Howard-Hamlin-1600-364-241.pdf
453	Nacho Varga	Nacho Varga	Nacho Varga/Better Call Saul	Nacho Varga/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Nacho-Varga-1600-364-241.pdf
454	Chuck McGill	Chuck McGill	Chuck McGill/Better Call Saul	Chuck McGill/Better Call Saul	https://compstorylab.org/archetypometrics/cards/Better-Call-Saul-Chuck-McGill-1600-364-241.pdf
455	Ted Mosby	Ted Mosby	Ted Mosby/How I Met Your Mother	Ted Mosby/How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-Ted-Mosby-1600-364-241.pdf
456	Marshall Eriksen	Marshall Eriksen	Marshall Eriksen/How I Met Your Mother	Marshall Eriksen/How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-Marshall-Eriksen-1600-364-241.pdf
457	Robin Scherbatsky	Robin Scherbatsky	Robin Scherbatsky/How I Met Your Mother	Robin Scherbatsky/How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-Robin-Scherbatsky-1600-364-241.pdf
458	Barney Stinson	Barney Stinson	Barney Stinson/How I Met Your Mother	Barney Stinson/How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-Barney-Stinson-1600-364-241.pdf
459	Lily Aldrin	Lily Aldrin	Lily Aldrin/How I Met Your Mother	Lily Aldrin/How I Met Your Mother	https://compstorylab.org/archetypometrics/cards/How-I-Met-Your-Mother-Lily-Aldrin-1600-364-241.pdf
460	Jesse	Jesse	Jesse/Before Sunrise	Jesse/Before Sunrise	https://compstorylab.org/archetypometrics/cards/Before-Sunrise-Jesse-1600-364-241.pdf
461	Céline	C\'{e}line	Céline/Before Sunrise	C\'{e}line/Before Sunrise	https://compstorylab.org/archetypometrics/cards/Before-Sunrise-Celine-1600-364-241.pdf
462	Miguel	Miguel	Miguel/Coco	Miguel/Coco	https://compstorylab.org/archetypometrics/cards/Coco-Miguel-1600-364-241.pdf
463	Héctor	H\'{e}ctor	Héctor/Coco	H\'{e}ctor/Coco	https://compstorylab.org/archetypometrics/cards/Coco-Hector-1600-364-241.pdf
464	Ernesto de la Cruz	Ernesto de la Cruz	Ernesto de la Cruz/Coco	Ernesto de la Cruz/Coco	https://compstorylab.org/archetypometrics/cards/Coco-Ernesto-de-la-Cruz-1600-364-241.pdf
465	Mamá Imelda	Mam\'{a} Imelda	Mamá Imelda/Coco	Mamá Imelda/Coco	https://compstorylab.org/archetypometrics/cards/Coco-Mama-Imelda-1600-364-241.pdf
466	Mamá Coco	Mam\'{a} Coco	Mamá Coco/Coco	Mamá Coco/Coco	https://compstorylab.org/archetypometrics/cards/Coco-Mama-Coco-1600-364-241.pdf
467	William Adama	William Adama	William Adama/Battlestar Galactica	William Adama/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-William-Adama-1600-364-241.pdf
468	Laura Roslin	Laura Roslin	Laura Roslin/Battlestar Galactica	Laura Roslin/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Laura-Roslin-1600-364-241.pdf
469	Kara 'Starbuck' Thrace	Kara `Starbuck' Thrace	Kara 'Starbuck' Thrace/Battlestar Galactica	Kara 'Starbuck' Thrace/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Kara-Starbuck-Thrace-1600-364-241.pdf
470	Lee 'Apollo' Adama	Lee `Apollo' Adama	Lee 'Apollo' Adama/Battlestar Galactica	Lee 'Apollo' Adama/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Lee-Apollo-Adama-1600-364-241.pdf
471	Gaius Baltar	Gaius Baltar	Gaius Baltar/Battlestar Galactica	Gaius Baltar/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Gaius-Baltar-1600-364-241.pdf
472	Number Six	Number Six	Number Six/Battlestar Galactica	Number Six/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Number-Six-1600-364-241.pdf
473	Sharon 'Boomer' Valerii	Sharon `Boomer' Valerii	Sharon 'Boomer' Valerii/Battlestar Galactica	Sharon 'Boomer' Valerii/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Sharon-Boomer-Valerii-1600-364-241.pdf
474	Saul Tigh	Saul Tigh	Saul Tigh/Battlestar Galactica	Saul Tigh/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Saul-Tigh-1600-364-241.pdf
475	Galen Tyrol	Galen Tyrol	Galen Tyrol/Battlestar Galactica	Galen Tyrol/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Galen-Tyrol-1600-364-241.pdf
476	Karl 'Helo' Agathon	Karl `Helo' Agathon	Karl 'Helo' Agathon/Battlestar Galactica	Karl 'Helo' Agathon/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Karl-Helo-Agathon-1600-364-241.pdf
477	Felix Gaeta	Felix Gaeta	Felix Gaeta/Battlestar Galactica	Felix Gaeta/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Felix-Gaeta-1600-364-241.pdf
478	Anastasia Dualla	Anastasia Dualla	Anastasia Dualla/Battlestar Galactica	Anastasia Dualla/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Anastasia-Dualla-1600-364-241.pdf
479	Billy Keikeya	Billy Keikeya	Billy Keikeya/Battlestar Galactica	Billy Keikeya/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Billy-Keikeya-1600-364-241.pdf
480	Cally Henderson	Cally Henderson	Cally Henderson/Battlestar Galactica	Cally Henderson/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Cally-Henderson-1600-364-241.pdf
481	Samuel 'Longshot' Anders	Samuel `Longshot' Anders	Samuel 'Longshot' Anders/Battlestar Galactica	Samuel 'Longshot' Anders/Battlestar Galactica	https://compstorylab.org/archetypometrics/cards/Battlestar-Galactica-Samuel-Longshot-Anders-1600-364-241.pdf
482	Regina Mills	Regina Mills	Regina Mills/Once Upon a Time	Regina Mills/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Regina-Mills-1600-364-241.pdf
483	Mr. Gold	Mr. Gold	Mr. Gold/Once Upon a Time	Mr. Gold/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Mr-Gold-1600-364-241.pdf
484	Henry Mills	Henry Mills	Henry Mills/Once Upon a Time	Henry Mills/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Henry-Mills-1600-364-241.pdf
485	Emma Swan	Emma Swan	Emma Swan/Once Upon a Time	Emma Swan/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Emma-Swan-1600-364-241.pdf
486	Mary Margaret Blanchard	Mary Margaret Blanchard	Mary Margaret Blanchard/Once Upon a Time	Mary Margaret Blanchard/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Mary-Margaret-Blanchard-1600-364-241.pdf
487	David Nolan	David Nolan	David Nolan/Once Upon a Time	David Nolan/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-David-Nolan-1600-364-241.pdf
488	Captain Killian 'Hook' Jones	Captain Killian `Hook' Jones	Captain Killian 'Hook' Jones/Once Upon a Time	Captain Killian 'Hook' Jones/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Captain-Killian-Hook-Jones-1600-364-241.pdf
489	Belle French	Belle French	Belle French/Once Upon a Time	Belle French/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Belle-French-1600-364-241.pdf
490	Zelena	Zelena	Zelena/Once Upon a Time	Zelena/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Zelena-1600-364-241.pdf
491	Granny Lucas	Granny Lucas	Granny Lucas/Once Upon a Time	Granny Lucas/Once Upon a Time	https://compstorylab.org/archetypometrics/cards/Once-Upon-a-Time-Granny-Lucas-1600-364-241.pdf
492	Annalise Keating	Annalise Keating	Annalise Keating/How To Get Away With Murder	Annalise Keating/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Annalise-Keating-1600-364-241.pdf
493	Nate Lahey	Nate Lahey	Nate Lahey/How To Get Away With Murder	Nate Lahey/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Nate-Lahey-1600-364-241.pdf
494	Connor Walsh	Connor Walsh	Connor Walsh/How To Get Away With Murder	Connor Walsh/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Connor-Walsh-1600-364-241.pdf
495	Michaela Pratt	Michaela Pratt	Michaela Pratt/How To Get Away With Murder	Michaela Pratt/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Michaela-Pratt-1600-364-241.pdf
496	Asher Millstone	Asher Millstone	Asher Millstone/How To Get Away With Murder	Asher Millstone/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Asher-Millstone-1600-364-241.pdf
497	Frank Delfino	Frank Delfino	Frank Delfino/How To Get Away With Murder	Frank Delfino/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Frank-Delfino-1600-364-241.pdf
498	Bonnie Winterbottom	Bonnie Winterbottom	Bonnie Winterbottom/How To Get Away With Murder	Bonnie Winterbottom/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Bonnie-Winterbottom-1600-364-241.pdf
499	Oliver Hampton	Oliver Hampton	Oliver Hampton/How To Get Away With Murder	Oliver Hampton/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Oliver-Hampton-1600-364-241.pdf
500	Laurel Castillo	Laurel Castillo	Laurel Castillo/How To Get Away With Murder	Laurel Castillo/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Laurel-Castillo-1600-364-241.pdf
501	Wes Gibbins	Wes Gibbins	Wes Gibbins/How To Get Away With Murder	Wes Gibbins/How To Get Away With Murder	https://compstorylab.org/archetypometrics/cards/How-To-Get-Away-With-Murder-Wes-Gibbins-1600-364-241.pdf
502	Calvin	Calvin	Calvin/Calvin and Hobbes	Calvin/Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-Calvin-1600-364-241.pdf
503	Hobbes	Hobbes	Hobbes/Calvin and Hobbes	Hobbes/Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-Hobbes-1600-364-241.pdf
504	Calvin's dad	Calvin's dad	Calvin's dad/Calvin and Hobbes	Calvin's dad/Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-Calvins-dad-1600-364-241.pdf
505	Calvin's mom	Calvin's mom	Calvin's mom/Calvin and Hobbes	Calvin's mom/Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-Calvins-mom-1600-364-241.pdf
506	Susie Derkins	Susie Derkins	Susie Derkins/Calvin and Hobbes	Susie Derkins/Calvin and Hobbes	https://compstorylab.org/archetypometrics/cards/Calvin-and-Hobbes-Susie-Derkins-1600-364-241.pdf
507	Kim Ki-taek	Kim Ki-taek	Kim Ki-taek/Parasite	Kim Ki-taek/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Kim-Ki-taek-1600-364-241.pdf
508	Park Dong-ik	Park Dong-ik	Park Dong-ik/Parasite	Park Dong-ik/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Park-Dong-ik-1600-364-241.pdf
509	Choi Yeon-gyo	Choi Yeon-gyo	Choi Yeon-gyo/Parasite	Choi Yeon-gyo/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Choi-Yeon-gyo-1600-364-241.pdf
510	Kim Ki-woo	Kim Ki-woo	Kim Ki-woo/Parasite	Kim Ki-woo/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Kim-Ki-woo-1600-364-241.pdf
511	Kim Ki-jung	Kim Ki-jung	Kim Ki-jung/Parasite	Kim Ki-jung/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Kim-Ki-jung-1600-364-241.pdf
512	Chung-sook	Chung-sook	Chung-sook/Parasite	Chung-sook/Parasite	https://compstorylab.org/archetypometrics/cards/Parasite-Chung-sook-1600-364-241.pdf
513	Rachel Green	Rachel Green	Rachel Green/Friends	Rachel Green/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Rachel-Green-1600-364-241.pdf
514	Monica Geller	Monica Geller	Monica Geller/Friends	Monica Geller/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Monica-Geller-1600-364-241.pdf
515	Phoebe Buffay	Phoebe Buffay	Phoebe Buffay/Friends	Phoebe Buffay/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Phoebe-Buffay-1600-364-241.pdf
516	Joey Tribbiani	Joey Tribbiani	Joey Tribbiani/Friends	Joey Tribbiani/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Joey-Tribbiani-1600-364-241.pdf
517	Chandler Bing	Chandler Bing	Chandler Bing/Friends	Chandler Bing/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Chandler-Bing-1600-364-241.pdf
518	Ross Geller	Ross Geller	Ross Geller/Friends	Ross Geller/Friends	https://compstorylab.org/archetypometrics/cards/Friends-Ross-Geller-1600-364-241.pdf
519	Rick Blaine	Rick Blaine	Rick Blaine/Casablanca	Rick Blaine/Casablanca	https://compstorylab.org/archetypometrics/cards/Casablanca-Rick-Blaine-1600-364-241.pdf
520	Ilsa Lund	Ilsa Lund	Ilsa Lund/Casablanca	Ilsa Lund/Casablanca	https://compstorylab.org/archetypometrics/cards/Casablanca-Ilsa-Lund-1600-364-241.pdf
521	Victor Laszlo	Victor Laszlo	Victor Laszlo/Casablanca	Victor Laszlo/Casablanca	https://compstorylab.org/archetypometrics/cards/Casablanca-Victor-Laszlo-1600-364-241.pdf
522	Matthew Casey	Matthew Casey	Matthew Casey/Chicago Fire	Matthew Casey/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Matthew-Casey-1600-364-241.pdf
523	Kelly Severide	Kelly Severide	Kelly Severide/Chicago Fire	Kelly Severide/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Kelly-Severide-1600-364-241.pdf
524	Wallace Boden	Wallace Boden	Wallace Boden/Chicago Fire	Wallace Boden/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Wallace-Boden-1600-364-241.pdf
525	Joe Cruz	Joe Cruz	Joe Cruz/Chicago Fire	Joe Cruz/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Joe-Cruz-1600-364-241.pdf
526	Randall McHolland	Randall McHolland	Randall McHolland/Chicago Fire	Randall McHolland/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Randall-McHolland-1600-364-241.pdf
527	Capp	Capp	Capp/Chicago Fire	Capp/Chicago Fire	https://compstorylab.org/archetypometrics/cards/Chicago-Fire-Capp-1600-364-241.pdf
528	Paul Atreides	Paul Atreides	Paul Atreides/Dune	Paul Atreides/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Paul-Atreides-1600-364-241.pdf
529	Lady Jessica	Lady Jessica	Lady Jessica/Dune	Lady Jessica/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Lady-Jessica-1600-364-241.pdf
530	Duke Leto Atreides	Duke Leto Atreides	Duke Leto Atreides/Dune	Duke Leto Atreides/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Duke-Leto-Atreides-1600-364-241.pdf
531	Baron Harkonnen	Baron Harkonnen	Baron Harkonnen/Dune	Baron Harkonnen/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Baron-Harkonnen-1600-364-241.pdf
532	Thufir Hawat	Thufir Hawat	Thufir Hawat/Dune	Thufir Hawat/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Thufir-Hawat-1600-364-241.pdf
533	Chani	Chani	Chani/Dune	Chani/Dune	https://compstorylab.org/archetypometrics/cards/Dune-Chani-1600-364-241.pdf
534	Selina Meyer	Selina Meyer	Selina Meyer/Veep	Selina Meyer/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Selina-Meyer-1600-364-241.pdf
535	Amy Brookheimer	Amy Brookheimer	Amy Brookheimer/Veep	Amy Brookheimer/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Amy-Brookheimer-1600-364-241.pdf
536	Gary Walsh	Gary Walsh	Gary Walsh/Veep	Gary Walsh/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Gary-Walsh-1600-364-241.pdf
537	Dan Egan	Dan Egan	Dan Egan/Veep	Dan Egan/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Dan-Egan-1600-364-241.pdf
538	Jonah Ryan	Jonah Ryan	Jonah Ryan/Veep	Jonah Ryan/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Jonah-Ryan-1600-364-241.pdf
539	Mike McLintock	Mike McLintock	Mike McLintock/Veep	Mike McLintock/Veep	https://compstorylab.org/archetypometrics/cards/Veep-Mike-McLintock-1600-364-241.pdf
540	Danny Ocean	Danny Ocean	Danny Ocean/Ocean's 11	Danny Ocean/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Danny-Ocean-1600-364-241.pdf
541	Rusty Ryan	Rusty Ryan	Rusty Ryan/Ocean's 11	Rusty Ryan/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Rusty-Ryan-1600-364-241.pdf
542	Linus Caldwell	Linus Caldwell	Linus Caldwell/Ocean's 11	Linus Caldwell/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Linus-Caldwell-1600-364-241.pdf
543	Basher Tarr	Basher Tarr	Basher Tarr/Ocean's 11	Basher Tarr/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Basher-Tarr-1600-364-241.pdf
544	Terry Benedict	Terry Benedict	Terry Benedict/Ocean's 11	Terry Benedict/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Terry-Benedict-1600-364-241.pdf
545	Tess Ocean	Tess Ocean	Tess Ocean/Ocean's 11	Tess Ocean/Ocean's 11	https://compstorylab.org/archetypometrics/cards/Oceans-11-Tess-Ocean-1600-364-241.pdf
546	Jonah Simms	Jonah Simms	Jonah Simms/Superstore	Jonah Simms/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Jonah-Simms-1600-364-241.pdf
547	Dina Fox	Dina Fox	Dina Fox/Superstore	Dina Fox/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Dina-Fox-1600-364-241.pdf
548	Garrett McNeill	Garrett McNeill	Garrett McNeill/Superstore	Garrett McNeill/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Garrett-McNeill-1600-364-241.pdf
549	Mateo Liwanag	Mateo Liwanag	Mateo Liwanag/Superstore	Mateo Liwanag/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Mateo-Liwanag-1600-364-241.pdf
550	Glenn Sturgis	Glenn Sturgis	Glenn Sturgis/Superstore	Glenn Sturgis/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Glenn-Sturgis-1600-364-241.pdf
551	Amy Sosa	Amy Sosa	Amy Sosa/Superstore	Amy Sosa/Superstore	https://compstorylab.org/archetypometrics/cards/Superstore-Amy-Sosa-1600-364-241.pdf
552	Andy Dufresne	Andy Dufresne	Andy Dufresne/The Shawshank Redemption	Andy Dufresne/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Andy-Dufresne-1600-364-241.pdf
553	Ellis Boyd 'Red' Redding	Ellis Boyd `Red' Redding	Ellis Boyd 'Red' Redding/The Shawshank Redemption	Ellis Boyd 'Red' Redding/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Ellis-Boyd-Red-Redding-1600-364-241.pdf
554	Samuel Norton	Samuel Norton	Samuel Norton/The Shawshank Redemption	Samuel Norton/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Samuel-Norton-1600-364-241.pdf
555	Heywood	Heywood	Heywood/The Shawshank Redemption	Heywood/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Heywood-1600-364-241.pdf
556	Byron Hadley	Byron Hadley	Byron Hadley/The Shawshank Redemption	Byron Hadley/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Byron-Hadley-1600-364-241.pdf
557	Brooks Hatlen	Brooks Hatlen	Brooks Hatlen/The Shawshank Redemption	Brooks Hatlen/The Shawshank Redemption	https://compstorylab.org/archetypometrics/cards/The-Shawshank-Redemption-Brooks-Hatlen-1600-364-241.pdf
558	Stan Marsh	Stan Marsh	Stan Marsh/South Park	Stan Marsh/South Park	https://compstorylab.org/archetypometrics/cards/South-Park-Stan-Marsh-1600-364-241.pdf
559	Kyle Broflovski	Kyle Broflovski	Kyle Broflovski/South Park	Kyle Broflovski/South Park	https://compstorylab.org/archetypometrics/cards/South-Park-Kyle-Broflovski-1600-364-241.pdf
560	Eric Cartman	Eric Cartman	Eric Cartman/South Park	Eric Cartman/South Park	https://compstorylab.org/archetypometrics/cards/South-Park-Eric-Cartman-1600-364-241.pdf
561	Kenny McCormick	Kenny McCormick	Kenny McCormick/South Park	Kenny McCormick/South Park	https://compstorylab.org/archetypometrics/cards/South-Park-Kenny-McCormick-1600-364-241.pdf
